part,before_unique,after_unique,resolver_warnings,families
10.dat,0,764,0,cylinder
10039.dat,0,34,0,cylinder
10040.dat,0,24,0,cylinder
10040c01.dat,0,34,0,cylinder
10041.dat,2,10,0,cylinder
10049.dat,0,1,0,cylinder
10049p01.dat,0,1,0,cylinder
100943.dat,0,2,0,cylinder
100943p01.dat,0,2,0,cylinder
101.dat,3,8,0,cylinder
10126.dat,0,1,0,cylinder
10128p01c01.dat,3,8,0,cylinder
10199.dat,32,96,0,cylinder
10201.dat,2,13,0,cylinder
10238.dat,0,1,0,cylinder
10247.dat,4,12,0,cylinder
103.dat,0,16,0,cylinder
10304.dat,7,11,0,cylinder
10350c01.dat,0,2,0,cylinder
10350p01c01.dat,0,2,0,cylinder
10350p02c01.dat,0,2,0,cylinder
10351.dat,0,1,0,cylinder
10351p01.dat,0,1,0,cylinder
10351p02.dat,0,1,0,cylinder
10352c01.dat,7,11,0,cylinder;generic
10353.dat,4,8,0,cylinder;generic
103c.dat,0,4,0,cylinder
10509.dat,0,17,0,cylinder;generic
10509p01.dat,0,17,0,cylinder;generic
10509p02.dat,0,17,0,cylinder;generic
10520.dat,0,1,0,cylinder
10532.dat,0,1,0,cylinder
10677.dat,0,5,10,cylinder
10679.dat,0,8,0,cylinder
10679b.dat,0,8,0,cylinder
10679bp01.dat,0,8,0,cylinder
10679p01.dat,0,8,0,cylinder
10715.dat,6,38,0,cylinder;clip
10715p01.dat,6,38,0,cylinder;clip
10715p02.dat,6,38,0,cylinder;clip
10756.dat,0,5,0,cylinder
10907c01.dat,1,2,1,cylinder;generic
10a.dat,12,764,0,cylinder
10b.dat,0,768,0,cylinder
10p01.dat,31,764,0,cylinder
10p02.dat,40,764,0,cylinder
10p03.dat,72,764,0,cylinder
10p04.dat,56,764,0,cylinder
10p05.dat,24,764,0,cylinder
10p06.dat,48,764,0,cylinder
10p07.dat,36,764,0,cylinder
10p08.dat,66,764,0,cylinder
10p09.dat,45,764,0,cylinder
10p0a.dat,100,764,0,cylinder
10p0b.dat,43,764,0,cylinder
11.dat,5,11,0,cylinder;generic
11002.dat,3,7,0,cylinder
11097.dat,3,7,0,cylinder
11145.dat,0,2,0,generic
11146.dat,0,2,0,generic
11147.dat,0,2,0,generic
11153.dat,5,7,0,cylinder
11170.dat,0,4,0,cylinder
11187.dat,1,2,0,cylinder
11187a.dat,0,1,0,cylinder
11198.dat,0,16,0,cylinder
11202p01c01.dat,2,5,0,fingers;cylinder;generic
11202p02c01.dat,2,5,0,fingers;cylinder;generic
11202p03c01.dat,2,5,0,fingers;cylinder;generic
11202p04c01.dat,2,5,0,fingers;cylinder;generic
11211.dat,7,9,0,cylinder
11212.dat,9,18,0,cylinder
11213.dat,26,50,0,cylinder
11215.dat,1,11,0,cylinder
11244p01c01.dat,2,5,0,fingers;cylinder;generic
11244p02c01.dat,2,5,0,fingers;cylinder;generic
11248.dat,6,34,0,cylinder;clip
11267.dat,15,19,0,cylinder
11272.dat,1,3,0,cylinder
11293.dat,8,17,0,cylinder
11293c01.dat,4,17,0,cylinder
11295.dat,39,61,0,cylinder
11301.dat,19,35,0,cylinder
11345.dat,0,32,0,cylinder
11377.dat,0,24,0,cylinder
11399.dat,18,34,0,clip;cylinder
11477d01.dat,0,2,0,cylinder
11477dy0.dat,0,2,0,cylinder
11477dy1.dat,0,2,0,cylinder
11477dy2.dat,0,2,0,cylinder
11477dy3.dat,0,2,0,cylinder
11477dy4.dat,0,2,0,cylinder
11477dy5.dat,0,2,0,cylinder
11477dy6.dat,0,2,0,cylinder
11477dy7.dat,0,2,0,cylinder
11477dy8.dat,0,2,0,cylinder
11477dy9.dat,0,2,0,cylinder
11477dya.dat,0,2,0,cylinder
11477dyb.dat,0,2,0,cylinder
11477dyc.dat,0,2,0,cylinder
11477dyd.dat,0,2,0,cylinder
11477dye.dat,0,2,0,cylinder
11477dyf.dat,0,2,0,cylinder
11477dyg.dat,0,2,0,cylinder
11477dyh.dat,0,2,0,cylinder
11477dyk.dat,0,2,0,cylinder
11477dyl.dat,0,2,0,cylinder
11477dym.dat,0,2,0,cylinder
11477dyn.dat,0,2,0,cylinder
11650.dat,12,92,0,cylinder
117.dat,0,2,0,cylinder
11767.dat,0,6,0,cylinder
117p47.dat,0,2,0,cylinder
11809.dat,0,1,0,cylinder
11833.dat,9,17,0,cylinder
11938.dat,0,5,2,cylinder
